stop_id,stop_name,stop_lat,stop_lon
"10174519","ป้ายรถประจำทาง","13.7942829","100.5285056"
"10174518","ป้ายรถประจำทาง คลอง 7","13.9348204","100.7496519"
"10174517","ป้ายรถประจำทาง ป้อมปราการ","13.5395782","100.5739537"
"10174516","ป้ายรถประจำทาง บริษัทไทยโภชนา","13.547911","100.572434"
"10174515","ป้ายรถประจำทาง","13.8874572","100.5111007"
"10174514","ป้ายรถประจำทาง ตลาดพระโขนง","13.7124571","100.5948472"
"10174513","ป้ายรถประจำทาง ไทรม้า","13.8727013","100.4601219"
"10174512","ป้ายรถประจำทาง กรมการขนส่งทางบก","13.7948852","100.5270886"
"10174511","ป้ายรถประจำทาง บ้านพักคนชราบางแค","13.7122837","100.4274236"
"10174510","ป้ายรถประจำทาง ซอยเยาวพา","13.8064644","100.5282357"
"10174509","ป้ายรถประจำทาง จรัสนิทวงศ์ 77/3","13.790466","100.5032603"
"10174508","ป้ายรถประจำทาง โรงเรียนวัดประชุมราษฎร์","13.9339775","100.7218945"
"10174507","ป้ายรถประจำทาง สะพานพุทธ","13.740198","100.4977903"
"10174506","ป้ายรถประจำทาง โรงเรียนบูรณวิทย์","13.7885542","100.5006296"
"10174505","ป้ายรถประจำทาง ห้างเมอร์รี่คิงส์ปิ่นเกล้า","13.7766516","100.4785573"
"10174504","ป้ายรถประจำทาง โรงเรียนโสภณชนูปถัมภ์","13.7068269","100.2940502"
"10174503","ป้ายรถประจำทาง หอสมุดแห่งชาติ","13.7730040797","100.5059056239"
"10174502","ป้ายรถประจำทาง","13.7772811461","100.4854241448"
"10174501","ป้ายรถประจำทาง มหาวิทยาลัยสยาม","13.7186045925","100.4544313875"
"10174500","ป้ายรถประจำทาง ธนาคารแห่งประเทศไทย","13.7871629741","100.4983736201"
"10174499","ป้ายรถประจำทาง คลอง 6","13.9340023","100.7255592"
"10174498","ป้ายรถประจำทาง ตรงข้าม ป.เวชภัณฑ์","13.7789574494","100.486846773"
"10174497","ป้ายรถประจำทาง โรงละคร","13.7597239792","100.4921642823"
"10174496","ป้ายรถประจำทาง กระทรวงกลาโหม","13.7506655747","100.4936882858"
"10174495","ป้ายรถประจำทาง วัดประดู่บางจาก","13.7198111189","100.4566712145"
"10174494","ป้ายรถประจำทาง อนุสาวรีย์สมเด็จเจ้าฟ้ามหิดล","13.7664327","100.5350608"
"10174493","ป้ายรถประจำทาง","13.6261345851","100.5883100939"
"10174492","ป้ายรถประจำทาง","13.8187593","100.5178418"
"10174491","ป้ายรถประจำทาง อุดมเดช(กศน.)","13.6217385","100.5899119"
"10174490","ป้ายรถประจำทาง ศูนย์ภาษา ซีพี","13.7825765","100.4987491"
"10174489","ป้ายรถประจำทาง ประปาบางเขน","13.8766531","100.5952987"
"10174488","ป้ายรถประจำทาง ป้อมตำรวจดินแดง","13.7626702","100.5557397"
"10174487","ป้ายรถประจำทาง ตรงข้ามโรงเรียนนาคปลัด","13.7825734","100.4910787"
"10174486","ป้ายรถประจำทาง ศาลแรงงาน","13.7362164","100.5198638"
"10174485","ป้ายรถประจำทาง","13.9000893","100.5411837"
"10174483","ป้ายรถประจำทาง เขาดิน","13.7743573","100.5171725"
"10174482","ป้ายรถประจำทาง","13.7549893","100.5326667"
"10174481","ป้ายรถประจำทาง","13.8983686","100.5460512"
"10174480","ป้ายรถประจำทาง สถานีรถไฟฟ้า BTS. ราชเทวี","13.7519458","100.5314637"
"10174479","ป้ายรถประจำทาง ซอยเดลี่เบอลล์","13.806449","100.5228963"
"10174478","ป้ายรถประจำทาง","13.5989476","100.5973773"
"10174477","ป้ายรถประจำทาง","13.7744088131","100.5065477297"
"10174476","ป้ายรถประจำทาง","13.7769023","100.5199684"
"10174475","ป้ายรถประจำทาง สถานีตำรวจดับเพลิงอ้อมน้อย","13.7050126","100.3129976"
"10174474","ป้ายรถประจำทาง","13.7781319","100.5173191"
"10174473","ป้ายรถประจำทาง","13.7793924","100.5142697"
"10174472","ป้ายรถประจำทาง มหาวิทยาลัยจุฬาลงกรณ์ 2","13.7359144","100.5291046"
"10174471","ป้ายรถประจำทาง","13.7556989472","100.5245117675"
"10174470","ป้ายรถประจำทาง มหาวิทยาลัยจุฬาลงกรณ์","13.738199","100.529464"
"10174469","ป้ายรถประจำทาง ห้างคาร์ฟูร์รัตนธิเบศร์","13.8616404","100.503829"
"10174468","ป้ายรถประจำทาง ท่าราชวรดิษฐ์","13.7495926","100.4896377"
