id,name,lat,long,police,road,district,description
2939,มเหสักข์,13.72626306,100.519819,บางรัก,สุรวงศ์,บางรัก,
2940,สมาคมไหหลำ (ทางเดินรถทางเดียว),13.72627292,100.5195957,บางรัก,สุรวงศ์,บางรัก,
2941,โรงเรียนวัดแสนสุข (แยกถนนนิมิตรใหม่),13.81969762,100.7414272,มีนบุรี,สุวินทวงศ์,มีนบุรี,
2942,ตรงข้ามการไฟฟ้ามีนบุรี,13.816017,100.746771,มีนบุรี,สุวินทวงศ์,มีนบุรี,ป้ายหาย
2943,บิ๊กซีสุวินทวงศ์,13.815429,100.720653,มีนบุรี,สุวินทวงศ์,มีนบุรี,
2944,ตรงข้ามโรงเรียนพาณิชยการมีนบุรี,13.816074,100.721753,มีนบุรี,สุวินทวงศ์,มีนบุรี,ป้ายหาย
2945,ตรงข้ามเรือนจำพิเศษมีนบุรี,13.81914629,100.7326601,มีนบุรี,สุวินทวงศ์,มีนบุรี,
2946,เมกาโฮม (ตรงข้ามแยกร่มเกล้า-สุวินทวงศ์),13.81939965,100.7350993,มีนบุรี,สุวินทวงศ์,มีนบุรี,
2947,หมู่บ้านพฤกษาบุรี,13.81970639,100.7382435,มีนบุรี,สุวินทวงศ์,มีนบุรี,
2948,มิตซูบิชิมอเตอร์ (แยกถนนราษฎร์อุทิศ),13.816693,100.751443,มีนบุรี,ราษฎร์อุทิศ,มีนบุรี,
2949,สถานีบริการน้ำมันเชลล์ (ตรงข้ามซอยสุวินทวงศ์ 28),13.81381819,100.7684018,มีนบุรี,สุวินทวงศ์,มีนบุรี,ป้ายไม่ตรงตามมติ
2950,สุเหร่าบ้านเกราะ,13.81303,100.776792,มีนบุรี,สุวินทวงศ์,มีนบุรี,ป้ายไม่ตรงตามมติ
2951,ซอยบึงใหญ่ (ตรงข้ามถนนคุ้มเกล้า),13.8124498,100.7818804,มีนบุรี,สุวินทวงศ์,มีนบุรี,
2952,ตรงข้ามหมู่บ้านปรีชา (สุวินทวงศ์),13.81180831,100.7884435,มีนบุรี,สุวินทวงศ์,มีนบุรี,
2953,บริษัทซีพีเอฟ (ตรงข้ามซอยสุวินทวงศ์ 38),13.81096155,100.7969642,มีนบุรี,สุวินทวงศ์,มีนบุรี,
2954,ซอยสุวินทวงศ์ 38 (ตรงข้ามบริษัทซีพีเอฟ),13.81062343,100.7973004,มีนบุรี,สุวินทวงศ์,มีนบุรี,
2955,ตรงข้ามชุมชนทองสงวน,13.81117052,100.791757,มีนบุรี,สุวินทวงศ์,มีนบุรี,
2956,แยกถนนคุ้มเกล้า,13.81207889,100.7820763,มีนบุรี,สุวินทวงศ์,มีนบุรี,
2957,หมู่บ้านอนันต์สามัคคี,13.812659,100.777305,มีนบุรี,สุวินทวงศ์,มีนบุรี,ป้ายไม่ตรงตามมติ
2958,ซอยสุวินทวงศ์ 28,13.81344547,100.7683851,มีนบุรี,สุวินทวงศ์,มีนบุรี,
2959,ตรงข้ามบริษัท สุธีการโยธา จำกัด(ป้ายหาย*),13.81494678,100.754026,มีนบุรี,สุวินทวงศ์,มีนบุรี,
2960,การไฟฟ้ามีนบุรี,13.81565,100.747131,มีนบุรี,สุวินทวงศ์,มีนบุรี,
2961,แยกร่มเกล้า-สุวินทวงศ์,13.81917814,100.7353942,มีนบุรี,สุวินทวงศ์,มีนบุรี,
2962,เรือนจำพิเศษมีนบุรี,13.81890966,100.7326601,มีนบุรี,สุวินทวงศ์,มีนบุรี,
2963,โรงเรียนพาณิชยการมีนบุรี,13.81704294,100.7224061,มีนบุรี,สุวินทวงศ์,มีนบุรี,
2964,ปากซอยถนนสามวา (ตรงข้ามเทสโก้โลตัส),13.81864736,100.7268988,มีนบุรี,สุวินทวงศ์,มีนบุรี,ตำแหน่งป้ายไม่ตรงตามมติ
2965,เทสโก้โลตัสมีนบุรี,13.81841908,100.726648,มีนบุรี,สุวินทวงศ์,มีนบุรี,
2966,เทคนิคมีนบุรี (ตรงข้ามบิ๊กซีสุวินทวงศ์),13.815045,100.720607,มีนบุรี,สุวินทวงศ์,มีนบุรี,
2967,การไฟฟ้าย่อยหนองจอก,13.810113,100.807036,หนองจอก,สุวินทวงศ์,หนองจอก,
2968,หมู่บ้านภัสสร 10,13.809004,100.81861,ลำผักชี,สุวินทวงศ์,หนองจอก,
2969,หมู่บ้านกฤษณา (ซอยสุวินทวงศ์ 25),13.80841066,100.8234646,ลำผักชี,สุวินทวงศ์,หนองจอก,ป้ายไม่ตรงตามมติ
2970,หมู่บ้านซื่อตรง (ซอยสุวินทวงศ์ 31),13.807392,100.836058,ลำผักชี,สุวินทวงศ์,หนองจอก,
2971,ตรงข้ามหมู่บ้านซื่อตรง (ซอยสุวินทวงศ์ 58),13.806867,100.836172,ลำผักชี,สุวินทวงศ์,หนองจอก,
2972,ตรงข้ามหมู่บ้านกฤษณา (สุวินทวงศ์),13.808127,100.823496,ลำผักชี,สุวินทวงศ์,หนองจอก,ป้ายไม่ตรงมติคระอนุกรรมการฯ
2973,ตรงข้ามหมู่บ้านภัสสร 10,13.808623,100.818384,ลำผักชี,สุวินทวงศ์,หนองจอก,
2974,ตรงข้ามการไฟฟ้าย่อยหนองจอก(วัดใหม่ลำนกแขวก),13.809675,100.807648,หนองจอก,สุวินทวงศ์,หนองจอก,
2975,หมู่บ้านนวธานี (ป้ายหาย*),13.789059,100.678044,บึงกุ่ม,เสรีไทย,คันนายาว,
2976,ตรงข้ามโชว์รูมโตโยต้าสุขาภิบาล 2,13.794556,100.689152,บางชัน,เสรีไทย,คันนายาว,
2977,ตรงข้ามโรงเรียนทรงวิทย์ศึกษา,13.79851369,100.6983544,บางชัน,เสรีไทย,คันนายาว,
2978,นิคมอุตสาหกรรมบางชัน (ซอยเสรีไทย 85),13.799471,100.700596,บางชัน,เสรีไทย,คันนายาว,
2979,ตรงข้ามหมู่บ้านนวธานี (ซอยเสรีไทย 38),13.78855206,100.6779938,บึงกุ่ม,เสรีไทย,คันนายาว,
2980,หมู่บ้านสุวธานี (ซอยเสรีไทย 61) (ป้ายหาย*),13.790679,100.680045,บึงกุ่ม,เสรีไทย,คันนายาว,ไม่ตรงตามมติครั้งที่4/2533
2981,ตรงข้ามเรือนทองนิเวศน์ (ซอยเสรีไทย 65),13.792792,100.684989,บึงกุ่ม,เสรีไทย,คันนายาว,
2982,ตรงข้ามสุเหร่าแดง (ซอยเสรีไทย71),13.793769,100.687286,บางชัน,เสรีไทย,คันนายาว,
2983,โซว์รูมโตโยต้าสุขาภิบาล 2,13.794314,100.689208,บางชัน,เสรีไทย,คันนายาว,
2984,ปากทางเข้าสวนสยาม (ซอยเสรีไทย77),13.795876,100.692198,บางชัน,เสรีไทย,คันนายาว,
2985,หมู่บ้านเกษรา (ซอยเสรีไทย 81/2),13.79653,100.693712,บางชัน,เสรีไทย,คันนายาว,
2986,ชุมชนเกาะจวน,13.797437,100.695875,บางชัน,เสรีไทย,คันนายาว,
2987,ซอยเสรีไทย 56,13.799183,100.700599,บางชัน,เสรีไทย,คันนายาว,
2988,โรงเรียนทรงวิทย์ศึกษา (ซอยเสรีไทย 54),13.798249,100.698421,บางชัน,เสรีไทย,คันนายาว,
2989,ตรงข้ามชุมชนเกาะจวน,13.797065,100.69564,บางชัน,เสรีไทย,คันนายาว,
2990,ตรงข้ามหมู่บ้านเกษรา,13.796245,100.693678,บางชัน,เสรีไทย,คันนายาว,
2991,ตรงข้ามปากทางสวนสยาม (ตรงข้ามซอยเสรีไทย 77),13.795457,100.691873,บางชัน,เสรีไทย,คันนายาว,
2992,สุเหร่าแดง (ซอยเสรีไทย 46),13.793525,100.687309,บางชัน,เสรีไทย,คันนายาว,
2993,เรือนทองนิเวศน์ (ซอยเสรีไทย 44) (*ป้ายหาย),13.792474,100.685045,บึงกุ่ม,เสรีไทย,คันนายาว,
2994,ตรงข้ามหมู่บ้านสุวธานี (ซอยเสรีไทย 42),13.790356,100.680595,บึงกุ่ม,เสรีไทย,คันนายาว,
2995,ตรงข้ามหมู่บ้านสหกรณ์เคหสถาน 4 (ซอยเสรีไทย 36),13.786073,100.676032,บึงกุม,เสรีไทย,คันนายาว,
2996,โรงเรียนคลองกุ่ม (ซอยเสรีไทย 53) (ป้ายหาย*),13.784258,100.673981,บึงกุ่ม,เสรีไทย,บึงกุ่ม,
2997,ตรงข้ามโรงเรียนคลองกุ่ม (ซอยเสรีไทย 30),13.784376,100.67444,บึงกุ่ม,เสรีไทย,คันนายาว,
2998,หมู่บ้านสหกรณ์เคหสถาน 4 (ซอยเสรีไทย 57),13.786175,100.675784,บึงกุ่ม,เสรีไทย,บึงกุ่ม,
2999,แยกบางกะปิ (ซอยเสรีไทย 3),13.76711174,100.6494249,ลาดพร้าว,เสรีไทย,บางกะปิ,
3000,ตรงข้ามวัดศรีบุญเรือง (ซอยเสรีไทย5),13.768486,100.651066,ลาดพร้าว,เสรีไทย,บางกะปิ,
3001,โรงเรียนบางกะปิ,13.769971,100.652382,บึงกุ่ม,เสรีไทย,บางกะปิ,
3002,ตรงข้ามสถาบันบัณฑิตพัฒนบริหารศาสตร์ (นิด้า),13.771764,100.653692,บึงกุ่ม,เสรีไทย,บางกะปิ,
3003,สถาบันบัณฑิตพัฒนบริหารศาสตร์(นิด้า),13.772063,100.654184,บึงกุ่ม,เสรีไทย,บางกะปิ,
3004,(ยกเลิก) ตรงข้ามโรงเรียนบางกะปิ,13.769975,100.652721,บึงกุ่ม,เสรีไทย,บางกะปิ,
3005,ท่าเรือวัดศรีบุญเรือง (วัดศรีบุญเรือง),13.767841,100.650771,ลาดพร้าว,เสรีไทย,บางกะปิ,
3006,แยกบางกะปิ (624 คอนโดเลต),13.766543,100.649045,ลาดพร้าว,เสรีไทย,บางกะปิ,
3007,ซอยเสรีไทย 8 (ซอยผู้ใหญ่โอน),13.776361,100.661151,บึงกุ่ม,เสรีไทย,บึงกุ่ม,
3008,ซอยเสรีไทย 4,13.775117,100.65871,บึงกุ่ม,เสรีไทย,บึงกุ่ม,
3009,ชุมชนซอยสมหวัง (ซอยเสรีไทย 21),13.77538009,100.6587162,บึงกุ่ม,เสรีไทย,บึงกุ่ม,
3010,ตรงข้ามซอยตาเซียน (ป้ายหาย*),13.776902,100.661729,บึงกุ่ม,เสรีไทย,บึงกุ่ม,
3011,อาคารอินโดไทย (ซอยเสรีไทย 95),13.808083,100.714948,มีนบุรี,เสรีไทย,มีนบุรี,
3012,ซอยเสรีไทย 62 (สหยูเนียน),13.803621,100.710147,มีนบุรี,เสรีไทย,มีนบุรี,
